Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Vigorous	100	1	1	95		66				22	104	hp		91	100											tors	shld											0	0	0
Prime	100	1	1	95		66				20	104	hp		101	110											tors												0	0	0
																																								
Virile	100	1	1	20	45	18				16	105	hp%		4	6											tors	belt											0	0	0
Virile	100	1	1	60		48				14	105	hp%		7	9											tors	belt											0	0	0
Vivid	100	1	1	80		60				12	105	hp%		10	12											tors	belt											0	0	0
Vivid	100	1	1	95		66				10	105	hp%		13	15											tors												0	0	0
																																								
Gladiator's	100	1	1	20	45	18				16	105	red-dmg%		4	6											tors	shld											0	0	0
Gladiator's	100	1	1	60		48				14	105	red-dmg%		7	9											tors	shld											0	0	0
Legend's	100	1	1	80		60				12	105	red-dmg%		10	12											tors	shld											0	0	0
Legend's	100	1	1	95		66				10	105	red-dmg%		13	15											tors												0	0	0
																																								
Brisk	100	1	1	5	15	3				38	106	move1		5	10											boot												0	0	0
Brisk	100	1	1	15	35	12				38	106	move1		11	15											boot												0	0	0
Brisk	100	1	1	25	60	24				36	106	move1		16	20											boot												0	0	0
Swift	100	1	1	45	95	42				34	106	move2		21	25											boot												0	0	0
Swift	100	1	1	80		60				32	106	move2		26	30											boot												0	0	0
Swift	100	1	1	95		66				30	106	move2		31	35											boot												0	0	0
																																								
Lizard's	100	1	1	1	10	1				22	107	mana		1	5											armo												0	0	0
Lizard's	100	1	1	5	15	3				22	107	mana		6	10											armo												0	0	0
Lizard's	100	1	1	10	20	6				22	107	mana		11	20											armo												0	0	0
Snake's	100	1	1	15	35	12				22	107	mana		21	30											armo												0	0	0
Snake's	100	1	1	20	45	18				22	107	mana		31	40											armo												0	0	0
Snake's	100	1	1	25	60	24				22	107	mana		41	50											armo												0	0	0
Serpent's	100	1	1	35		33				22	107	mana		51	60											shld	glov	belt	boot									0	0	0
Serpent's	100	1	1	45		42				22	107	mana		61	70											shld	glov	belt	boot									0	0	0
Serpent's	100	1	1	35	80	33				22	107	mana		51	60											armo												0	0	0
Serpent's	100	1	1	45	95	42				22	107	mana		61	70											armo												0	0	0
Serpent's	100	1	1	60		48				20	107	mana		71	80											armo												0	0	0
Wyrm's	100	1	1	80		60				18	107	mana		81	90											armo	helm											0	0	0
Wyrm's	100	1	1	95		66				16	107	mana		91	100											armo	helm											0	0	0
Great Wyrm's	100	1	1	95		66				14	107	mana		101	110											tors												0	0	0
																																								
Sage	100	1	1	20	45	18				16	108	mana%		6	8	dmg-to-mana		9	11							tors	helm											0	0	0
Sage	100	1	1	60		48				14	108	mana%		9	10	dmg-to-mana		12	14							tors	helm											0	0	0
Omniscient	100	1	1	80		60				12	108	mana%		11	13	dmg-to-mana		15	17							tors	helm											0	0	0
Omniscient	100	1	1	95		66				10	108	mana%		15	17	dmg-to-mana		18	20							tors												0	0	0
																																								
Pixie's	100	1	1	5		24				8	109	sock		2	2											glov	belt	boot										0	0	0
Seraphim's	100	1	1	25		33				6	109	sock		3	3											tors	shld	helm										0	0	0
Seraphim's	100	1	1	45		42				4	109	sock		4	4											tors												0	0	0
Djinn's	100	1	1	80		60				1	109	sock		5	5											tors												0	0	0
Djinn's	100	1		95		66				6	109	sock		6	6											tors												0	0	0
																																								
Rainbow	100	1	1	1	10	1				28	110	res-all		1	2											tors	shld											0	0	0
Rainbow	100	1	1	5	15	3				28	110	res-all		3	5											tors	shld											0	0	0
Rainbow	100	1	1	10	20	6				28	110	res-all		6	8											tors	shld											0	0	0
Shimmering	100	1	1	15	35	12				28	110	res-all		9	11											tors	shld											0	0	0
Shimmering	100	1	1	20	45	18				28	110	res-all		12	14											tors	shld											0	0	0
Shimmering	100	1	1	25	60	24				28	110	res-all		15	17											tors	shld											0	0	0
Scintillating	100	1	1	35		33				28	110	res-all		18	20											tors												0	0	0
Scintillating	100	1	1	45		42				28	110	res-all		21	23											tors												0	0	0
Scintillating	100	1	1	35	80	33				28	110	res-all		18	20											shld												0	0	0
Scintillating	100	1	1	45	95	42				28	110	res-all		21	23											shld												0	0	0
Scintillating	100	1	1	60		48				26	110	res-all		24	26											shld												0	0	0
Prismatic	100	1	1	80		60				24	110	res-all		27	29											shld												0	0	0
Prismatic	100	1	1	95		66				22	110	res-all		30	32											shld												0	0	0
Chromatic	100	1	1	95		66				20	110	res-all		33	35											shld												0	0	0
																																								
Azure	100	1	1	1	10	1				28	111	res-cold		1	3											tors	shld	helm										0	0	0
Azure	100	1	1	5	15	3				28	111	res-cold		4	7											tors	shld	helm										0	0	0
Azure	100	1	1	10	20	6				28	111	res-cold		8	11											tors	shld	helm										0	0	0
Lapis	100	1	1	15	35	12				28	111	res-cold		12	15											tors	shld	helm										0	0	0
Lapis	100	1	1	20	45	18				28	111	res-cold		16	19											tors	shld	helm										0	0	0
Lapis	100	1	1	25	60	24				28	111	res-cold		20	23											tors	shld	helm										0	0	0
Cobalt	100	1	1	35		33				26	111	res-cold		24	27											tors												0	0	0
Cobalt	100	1	1	45		42				24	111	res-cold		28	31											tors												0	0	0
Cobalt	100	1	1	35	80	33				28	111	res-cold		24	27											shld	helm											0	0	0
Cobalt	100	1	1	45	95	42				28	111	res-cold		28	31											shld	helm											0	0	0
Cobalt	100	1	1	60		48				26	111	res-cold		32	35											shld	helm											0	0	0
Sapphire	100	1	1	80		60				24	111	res-cold		36	39											shld	helm											0	0	0
Sapphire	100	1	1	95		66				22	111	res-cold		40	43											shld												0	0	0
Lapis Lazuli	100	1	1	95		66				20	111	res-cold		44	47											shld												0	0	0
																																								
Crimson	100	1	1	1	10	1				28	112	res-fire		1	3											tors	shld	boot										0	0	0
Crimson	100	1	1	5	15	3				28	112	res-fire		4	7											tors	shld	boot										0	0	0
Crimson	100	1	1	10	20	6				28	112	res-fire		8	11											tors	shld	boot										0	0	0
Russet	100	1	1	15	35	12				28	112	res-fire		12	15											tors	shld	boot										0	0	0
Russet	100	1	1	20	45	18				28	112	res-fire		16	19											tors	shld	boot										0	0	0
Russet	100	1	1	25	60	24				28	112	res-fire		20	23											tors	shld	boot										0	0	0
Garnet	100	1	1	35		33				26	112	res-fire		24	27											tors												0	0	0
Garnet	100	1	1	45		42				24	112	res-fire		28	31											tors												0	0	0
Garnet	100	1	1	35	80	33				28	112	res-fire		24	27											shld	boot											0	0	0
Garnet	100	1	1	45	95	42				28	112	res-fire		28	31											shld	boot											0	0	0
Garnet	100	1	1	60		48				26	112	res-fire		32	35											shld	boot											0	0	0
Ruby	100	1	1	80		60				24	112	res-fire		36	39											shld	boot											0	0	0
Ruby	100	1	1	95		66				22	112	res-fire		40	43											shld												0	0	0
Garnet	100	1	1	95		66				20	112	res-fire		44	47											shld												0	0	0
																																								
Tangerine	100	1	1	1	10	1				28	113	res-ltng		1	3											tors	shld	belt										0	0	0
Tangerine	100	1	1	5	15	3				28	113	res-ltng		4	7											tors	shld	belt										0	0	0
Tangerine	100	1	1	10	20	6				28	113	res-ltng		8	11											tors	shld	belt										0	0	0
Ocher	100	1	1	15	35	12				28	113	res-ltng		12	15											tors	shld	belt										0	0	0
Ocher	100	1	1	20	45	18				28	113	res-ltng		16	19											tors	shld	belt										0	0	0
Ocher	100	1	1	25	60	24				28	113	res-ltng		20	23											tors	shld	belt										0	0	0
Coral	100	1	1	35		33				26	113	res-ltng		24	27											tors												0	0	0
Coral	100	1	1	45		42				24	113	res-ltng		28	31											tors												0	0	0
Coral	100	1	1	35	80	33				28	113	res-ltng		24	27											shld	belt											0	0	0
Coral	100	1	1	45	95	42				28	113	res-ltng		28	31											shld	belt											0	0	0
Coral	100	1	1	60		48				26	113	res-ltng		32	35											shld	belt											0	0	0
Amber	100	1	1	80		60				24	113	res-ltng		36	39											shld	belt											0	0	0
Amber	100	1	1	95		66				22	113	res-ltng		40	43											shld												0	0	0
Ambergris	100	1	1	95		66				20	113	res-ltng		44	47											shld												0	0	0
																																								
Beryl	100	1	1	1	10	1				28	114	res-pois		1	3											tors	shld	glov										0	0	0
Beryl	100	1	1	5	15	3				28	114	res-pois		4	7											tors	shld	glov										0	0	0
Beryl	100	1	1	10	20	6				28	114	res-pois		8	11											tors	shld	glov										0	0	0
Viridian	100	1	1	15	35	12				28	114	res-pois		12	15											tors	shld	glov										0	0	0
Viridian	100	1	1	20	45	18				28	114	res-pois		16	19											tors	shld	glov										0	0	0
Viridian	100	1	1	25	60	24				28	114	res-pois		20	23											tors	shld	glov										0	0	0
Jade	100	1	1	35		33				26	114	res-pois		24	27											tors												0	0	0
Jade	100	1	1	45		42				24	114	res-pois		28	31											tors												0	0	0
Jade	100	1	1	35	80	33				28	114	res-pois		24	27											shld	glov											0	0	0
Jade	100	1	1	45	95	42				28	114	res-pois		28	31											shld	glov											0	0	0
Jade	100	1	1	60		48				26	114	res-pois		32	35											shld	glov											0	0	0
Emerald	100	1	1	80		60				24	114	res-pois		36	39											shld	glov											0	0	0
Emerald	100	1	1	95		66				22	114	res-pois		40	43											shld												0	0	0
Amazonit	100	1	1	95		66				20	114	res-pois		44	47											shld												0	0	0
																																								
Corundum	100	1	1	20	45	18				16	115	res-all-max		1	2											tors												0	0	0
Corundum	100	1	1	60		48				14	115	res-all-max		2	3											tors												0	0	0
Diamond	100	1	1	80		60				12	115	res-all-max		3	4											tors												0	0	0
Diamond	100	1	1	95		66				10	115	res-all-max		4	5											tors												0	0	0
																																								
Maiden's	100	1	1	45	95	42	ama		33	8	116	ama		1	1											tors												0	0	0
Maiden's	100	1	1	80		60	ama		42	6	116	ama		1	2											tors												0	0	0
Valkyrie's	100	1	1	95		66	ama		60	4	116	ama		2	3											tors												0	0	0
Angel's	100	1	1	45	95	42	sor		33	8	116	sor		1	1											tors												0	0	0
Angel's	100	1	1	80		60	sor		42	6	116	sor		1	2											tors												0	0	0
Arch-Angel's	100	1	1	95		66	sor		60	4	116	sor		2	3											tors												0	0	0
Summoner's	100	1	1	45	95	42	nec		33	8	116	nec		1	1											tors												0	0	0
Summoner's	100	1	1	80		60	nec		42	6	116	nec		1	2											tors												0	0	0
Necromancer's	100	1	1	95		66	nec		60	4	116	nec		2	3											tors												0	0	0
Monk's	100	1	1	45	95	42	pal		33	8	116	pal		1	1											tors												0	0	0
Monk's	100	1	1	80		60	pal		42	6	116	pal		1	2											tors												0	0	0
Priest's	100	1	1	95		66	pal		60	4	116	pal		2	3											tors												0	0	0
Slayer's	100	1	1	45	95	42	bar		33	8	116	bar		1	1											tors												0	0	0
Slayer's	100	1	1	80		60	bar		42	6	116	bar		1	2											tors												0	0	0
Berserker's	100	1	1	95		66	bar		60	4	116	bar		2	3											tors												0	0	0
Shaman's	100	1	1	45	95	42	dru		33	8	116	dru		1	1											tors												0	0	0
Shaman's	100	1	1	80		60	dru		42	6	116	dru		1	2											tors												0	0	0
Hierophant's	100	1	1	95		66	dru		60	4	116	dru		2	3											tors												0	0	0
Magekiller's	100	1	1	45	95	42	ass		33	8	116	ass		1	1											tors												0	0	0
Magekiller's	100	1	1	80		60	ass		42	6	116	ass		1	2											tors												0	0	0
Witch-hunter's	100	1	1	95		66	ass		60	4	116	ass		2	3											tors												0	0	0
																																								
Fletcher's	100	1	1	25	60	24	ama		18	16	117	skilltab	0	1	1											glov	helm											0	0	0
Bowyer's	100	1	1	45		42	ama		33	12	117	skilltab	0	1	2											glov	helm											0	0	0
Archer's	100	1	1	60		48	ama		42	8	117	skilltab	0	2	3											glov												0	0	0
Acrobat's	100	1	1	25	60	24	ama		18	16	117	skilltab	1	1	1											glov	helm											0	0	0
Gymnast's	100	1	1	45		42	ama		33	12	117	skilltab	1	1	2											glov	helm											0	0	0
Athlete's	100	1	1	60		48	ama		42	8	117	skilltab	1	2	3											glov												0	0	0
Harpoonist's	100	1	1	25	60	24	ama		18	16	117	skilltab	2	1	1											glov	helm											0	0	0
Spearmaiden's	100	1	1	45		42	ama		33	12	117	skilltab	2	1	2											glov	helm											0	0	0
Lancer's	100	1	1	60		48	ama		42	8	117	skilltab	2	2	3											glov												0	0	0
																																								
Burning	100	1	1	25	60	24	sor		18	16	117	skilltab	3	1	1											glov	helm											0	0	0
Blazing	100	1	1	45		42	sor		33	12	117	skilltab	3	1	2											glov	helm											0	0	0
Volcanic	100	1	1	60		48	sor		42	8	117	skilltab	3	2	3											glov												0	0	0
Sparking	100	1	1	25	60	24	sor		18	16	117	skilltab	4	1	1											glov	helm											0	0	0
Charged	100	1	1	45		42	sor		33	12	117	skilltab	4	1	2											glov	helm											0	0	0
Powered	100	1	1	60		48	sor		42	8	117	skilltab	4	2	3											glov												0	0	0
Chilling	100	1	1	25	60	24	sor		18	16	117	skilltab	5	1	1											glov	helm											0	0	0
Freezing	100	1	1	45		42	sor		33	12	117	skilltab	5	1	2											glov	helm											0	0	0
Glacial	100	1	1	60		48	sor		42	8	117	skilltab	5	2	3											glov												0	0	0
																																								
Hexing	100	1	1	25	60	24	nec		18	16	117	skilltab	6	1	1											glov	helm											0	0	0
Blighting	100	1	1	45		42	nec		33	12	117	skilltab	6	1	2											glov	helm											0	0	0
Accursed	100	1	1	60		48	nec		42	8	117	skilltab	6	2	3											glov												0	0	0
Fungal	100	1	1	25	60	24	nec		18	16	117	skilltab	7	1	1											glov	helm											0	0	0
Noxious	100	1	1	45		42	nec		33	12	117	skilltab	7	1	2											glov	helm											0	0	0
Venomous	100	1	1	60		48	nec		42	8	117	skilltab	7	2	3											glov												0	0	0
Graverobber's	100	1	1	25	60	24	nec		18	16	117	skilltab	8	1	1											glov	helm											0	0	0
Vodoun	100	1	1	45		42	nec		33	12	117	skilltab	8	1	2											glov	helm											0	0	0
Golemlord's	100	1	1	60		48	nec		42	8	117	skilltab	8	2	3											glov												0	0	0
																																								
Lion Branded	100	1	1	25	60	24	pal		18	16	117	skilltab	9	1	1											glov	helm											0	0	0
Hawk Branded	100	1	1	45		42	pal		33	12	117	skilltab	9	1	2											glov	helm											0	0	0
Rose Branded	100	1	1	60		48	pal		42	8	117	skilltab	9	2	3											glov												0	0	0
Captain's	100	1	1	25	60	24	pal		18	16	117	skilltab	10	1	1											glov	helm											0	0	0
Commander's	100	1	1	45		42	pal		33	12	117	skilltab	10	1	2											glov	helm											0	0	0
Marshal's	100	1	1	60		48	pal		42	8	117	skilltab	10	2	3											glov												0	0	0
Preserver's	100	1	1	25	60	24	pal		18	16	117	skilltab	11	1	1											glov	helm											0	0	0
Warder's	100	1	1	45		42	pal		33	12	117	skilltab	11	1	2											glov	helm											0	0	0
Guardian's	100	1	1	60		48	pal		42	8	117	skilltab	11	2	3											glov												0	0	0
																																								
Expert's	100	1	1	25	60	24	bar		18	16	117	skilltab	12	1	1											glov	helm											0	0	0
Veteran's	100	1	1	45		42	bar		33	12	117	skilltab	12	1	2											glov	helm											0	0	0
Master's	100	1	1	60		48	bar		42	8	117	skilltab	12	2	3											glov												0	0	0
Fanatic	100	1	1	25	60	24	bar		18	16	117	skilltab	13	1	1											glov	helm											0	0	0
Raging	100	1	1	45		42	bar		33	12	117	skilltab	13	1	2											glov	helm											0	0	0
Furious	100	1	1	60		48	bar		42	8	117	skilltab	13	2	3											glov												0	0	0
Sounding	100	1	1	25	60	24	bar		18	16	117	skilltab	14	1	1											glov	helm											0	0	0
Resonant	100	1	1	45		42	bar		33	12	117	skilltab	14	1	2											glov	helm											0	0	0
Echoing	100	1	1	60		48	bar		42	8	117	skilltab	14	2	3											glov												0	0	0
																																								
Trainer's	100	1	1	25	60	24	dru		18	16	117	skilltab	15	1	1											glov	helm											0	0	0
Caretaker's	100	1	1	45		42	dru		33	12	117	skilltab	15	1	2											glov	helm											0	0	0
Keeper's	100	1	1	60		48	dru		42	8	117	skilltab	15	2	3											glov												0	0	0
Spiritual	100	1	1	25	60	24	dru		18	16	117	skilltab	16	1	1											glov	helm											0	0	0
Feral	100	1	1	45		42	dru		33	12	117	skilltab	16	1	2											glov	helm											0	0	0
Communal	100	1	1	60		48	dru		42	8	117	skilltab	16	2	3											glov												0	0	0
Nature's	100	1	1	25	60	24	dru		18	16	117	skilltab	17	1	1											glov	helm											0	0	0
Terra's	100	1	1	45		42	dru		33	12	117	skilltab	17	1	2											glov	helm											0	0	0
Gaea's	100	1	1	60		48	dru		42	8	117	skilltab	17	2	3											glov												0	0	0
																																								
Entrapping	100	1	1	25	60	24	ass		18	16	117	skilltab	18	1	1											glov	helm											0	0	0
Trickster's	100	1	1	45		42	ass		33	12	117	skilltab	18	1	2											glov	helm											0	0	0
Cunning	100	1	1	60		48	ass		42	8	117	skilltab	18	2	3											glov												0	0	0
Mentalist's	100	1	1	25	60	24	ass		18	16	117	skilltab	19	1	1											glov	helm											0	0	0
Psychic	100	1	1	45		42	ass		33	12	117	skilltab	19	1	2											glov	helm											0	0	0
Shadow	100	1	1	60		48	ass		42	8	117	skilltab	19	2	3											glov												0	0	0
Shogukusha's	100	1	1	25	60	24	ass		18	16	117	skilltab	20	1	1											glov	helm											0	0	0
Sensei's	100	1	1	45		42	ass		33	12	117	skilltab	20	1	2											glov	helm											0	0	0
Kenshi's	100	1	1	60		48	ass		42	8	117	skilltab	20	2	3											glov												0	0	0
																																								
Fletcher's	100	1	1	25	60	24	ama		10	16	118	skilltab	0	1	1	att%		20	25							scrn												0	0	0
Bowyer's	100	1	1	45		42	ama		20	12	118	skilltab	0	1	2	att%		26	30							scrn												0	0	0
Archer's	100	1	1	60		48	ama		30	8	118	skilltab	0	2	3	att%		31	35							scrn												0	0	0
Acrobat's	100	1	1	25	60	24	ama		10	16	118	skilltab	1	1	1	pierce		10	14							scrn												0	0	0
Gymnast's	100	1	1	45		42	ama		20	12	118	skilltab	1	1	2	pierce		15	19							scrn												0	0	0
Athlete's	100	1	1	60		48	ama		30	8	118	skilltab	1	2	3	pierce		20	24							scrn												0	0	0
Harpoonist's	100	1	1	25	60	24	ama		10	16	118	skilltab	2	1	1	swing1		4	6							scrn												0	0	0
Spearmaiden's	100	1	1	45		42	ama		20	12	118	skilltab	2	1	2	swing1		7	9							scrn												0	0	0
Lancer's	100	1	1	60		48	ama		30	8	118	skilltab	2	2	3	swing2		10	12							scrn												0	0	0
Styganor 's	100	1	1	80		60	ama		33	6	118	ama		1	1	pierce-fire		1	2							scrn												0	0	0
Styganor 's	100	1	1	80		60	ama		42	6	118	ama		1	1	pierce-cold		1	2							scrn												0	0	0
Styganor 's	100	1	1	80		60	ama		42	6	118	ama		1	1	pierce-ltng		1	2							scrn												0	0	0
Styganor 's	100	1	1	80		60	ama		42	6	118	ama		1	1	pierce-pois		1	2							scrn												0	0	0
																																								
Burning	100	1	1	25	60	24	sor		18	16	118	skilltab	3	1	1	extra-fire		1	3							robe												0	0	0
Blazing	100	1	1	45		42	sor		33	12	118	skilltab	3	1	2	extra-fire		3	6							robe												0	0	0
Volcanic	100	1	1	60		48	sor		42	8	118	skilltab	3	2	3	extra-fire		6	9							robe												0	0	0
Sparking	100	1	1	25	60	24	sor		18	16	118	skilltab	4	1	1	extra-ltng		1	3							robe												0	0	0
Charged	100	1	1	45		42	sor		33	12	118	skilltab	4	1	2	extra-ltng		3	6							robe												0	0	0
Powered	100	1	1	60		48	sor		42	8	118	skilltab	4	2	3	extra-ltng		6	9							robe												0	0	0
Chilling	100	1	1	25	60	24	sor		18	16	118	skilltab	5	1	1	extra-cold		1	3							robe												0	0	0
Freezing	100	1	1	45		42	sor		33	12	118	skilltab	5	1	2	extra-cold		3	6							robe												0	0	0
Glacial	100	1	1	60		48	sor		42	8	118	skilltab	5	2	3	extra-cold		6	9							robe												0	0	0
Elementalist's	100	1	1	90		67	sor		45	1	118	sor		1	2	skilltab	3	1	2							robe												0	0	0
Elementalist's	100	1	1	90		67	sor		45	1	118	sor		1	2	skilltab	4	1	2							robe												0	0	0
Elementalist's	100	1	1	90		67	sor		45	1	118	sor		1	2	skilltab	5	1	2							robe												0	0	0
																																								
Entrapping	100	1	1	25	60	24	ass		18	16	118	skilltab	18	1	1	crush		2	3							clok												0	0	0
Trickster's	100	1	1	45		42	ass		33	12	118	skilltab	18	1	2	crush		3	4							clok												0	0	0
Cunning	100	1	1	60		48	ass		42	8	118	skilltab	18	2	3	crush		4	5							clok												0	0	0
Mentalist's	100	1	1	25	60	24	ass		18	16	118	skilltab	19	1	1	move2		3	6							clok												0	0	0
Psychic	100	1	1	45		42	ass		33	12	118	skilltab	19	1	2	move2		7	10							clok												0	0	0
Shadow	100	1	1	60		48	ass		42	8	118	skilltab	19	2	3	move2		11	14							clok												0	0	0
Shogukusha's	100	1	1	25	60	24	ass		18	16	118	skilltab	20	1	1	extra-all		1	2							clok												0	0	0
Sensei's	100	1	1	45		42	ass		33	12	118	skilltab	20	1	2	extra-all		2	3							clok												0	0	0
Kenshi's	100	1	1	60		48	ass		42	8	118	skilltab	20	2	3	extra-all		3	4							clok												0	0	0
Saboteur's	100	1	1	95		66	ass		45	1	118	ass		1	2	skilltab	18	1	2							clok												0	0	0
Saboteur's	100	1	1	95		66	ass		45	1	118	ass		1	2	skilltab	19	1	2							clok												0	0	0
Saboteur's	100	1	1	95		66	ass		45	1	118	ass		1	2	skilltab	20	1	2							clok												0	0	0
																																								
Bathyal	100	1	1	5	15	3				28	119	res-mag		2	5											lmnb												0	0	0
Bathyal	100	1	1	15	35	12				28	119	res-mag		3	6											lmnb												0	0	0
Abyssal	100	1	1	25	60	24				26	119	res-mag		4	7											lmnb												0	0	0
Abyssal	100	1	1	45	95	42				24	119	res-mag		5	8											lmnb												0	0	0
Hadal	100	1	1	80		60				22	119	res-mag		6	9											lmnb												0	0	0
Hadal	100	1	1	95		66				20	119	res-mag		7	10											lmnb												0	0	0
Unseen	100	1	1	95		66				2	119	abs-mag		5	6	abs-mag%	3	4								lmnb												0	0	0
																																								
Barricaded	100	1	1	5	15	3				28	120	red-dmg		3	6											bshd												0	0	0
Barricaded	100	1	1	15	35	12				28	120	red-dmg		7	10											bshd												0	0	0
Bulwarked	100	1	1	25	60	24				26	120	red-dmg		11	14											bshd												0	0	0
Bulwarked	100	1	1	45	95	42				24	120	red-dmg		15	18											bshd												0	0	0
Bastioned	100	1	1	80		60				22	120	red-dmg		19	21											bshd												0	0	0
Bastioned	100	1	1	95		66				20	120	red-dmg		22	25											bshd												0	0	0
Buttressed	100	1	1	95		66				1	120	oskill	Defiance	1	4											bshd												0	0	0
																																								
Expert's	100	1	1	25	60	24	bar		10	16	118	skilltab	12	1	1	att/lvl	2									phlm												0	0	0
Veteran's	100	1	1	45		42	bar		20	12	118	skilltab	12	1	2	att/lvl	3									phlm												0	0	0
Master's	100	1	1	60		48	bar		30	8	118	skilltab	12	2	3	att/lvl	4									phlm												0	0	0
Fanatic	100	1	1	25	60	24	bar		10	16	118	skilltab	13	1	1	ltngskill	4	7								phlm												0	0	0
Raging	100	1	1	45		42	bar		20	12	118	skilltab	13	1	2	ltngskill	8	11								phlm												0	0	0
Furious	100	1	1	60		48	bar		30	8	118	skilltab	13	2	3	ltngskill	12	15								phlm												0	0	0
Sounding	100	1	1	25	60	24	bar		10	16	118	skilltab	14	1	1	warcry-effect		1	2							phlm												0	0	0
Resonant	100	1	1	45		42	bar		20	12	118	skilltab	14	1	2	warcry-effect		3	4							phlm												0	0	0
Echoing	100	1	1	60		48	bar		30	8	118	skilltab	14	2	3	warcry-effect		5	6							phlm												0	0	0
Champion's	100	1	1	95		66	bar		45	1	118	bar		1	2	skilltab	12	1	2							phlm												0	0	0
Champion's	100	1	1	95		66	bar		45	1	118	bar		1	2	skilltab	13	1	2							phlm												0	0	0
Champion's	100	1	1	95		66	bar		45	1	118	bar		1	2	skilltab	14	1	2							phlm												0	0	0
																																								
Trainer's	100	1	1	25	60	24	dru		10	16	118	skilltab	15	1	1	sum-skills		0	1							pelt												0	0	0
