Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Blocking	100	1	1	25	60	24				26	10	block		7	9	block2		10	12							shld										0	0	0
of Deflecting	100	1	1	45	95	42				24	10	block		10	12	block2		13	15							shld										0	0	0
of Deflecting	100	1	1	80		60				22	10	block		13	15	block2		16	18							shld										0	0	0
of Deflecting	100	1	1	95		66				20	10	block		16	18	block2		20	22							shld										0	0	0
																																						
of Balance	100	1	1	5	15	3				28	11	balance1		10	12											tors	belt									0	0	0
of Balance	100	1	1	15	35	12				28	11	balance1		13	15											tors	belt									0	0	0
of Balance	100	1	1	25	60	24				26	11	balance2		16	18											tors	belt									0	0	0
of Stability	100	1	1	45	95	42				24	11	balance2		19	21											tors	belt									0	0	0
of Stability	100	1	1	80		60				22	11	balance3		22	24											tors	belt									0	0	0
of Stability	100	1	1	95		66				20	11	balance3		25	27											tors	belt									0	0	0
																																						
of Regeneration	100	1	1	5	15	3				28	12	regen		10	15	hp/lvl	2									helm	tors									0	0	0
of Regeneration	100	1	1	15	35	12				28	12	regen		16	20	hp/lvl	2									helm	tors									0	0	0
of Regeneration	100	1	1	25		24				26	12	regen		21	25	hp/lvl	2									tors										0	0	0
of Regrowth	100	1	1	45		42				24	12	regen		26	30	hp/lvl	2									tors										0	0	0
of Regeneration	100	1	1	25	60	24				26	12	regen		21	25	hp/lvl	2									helm	tors									0	0	0
of Regrowth	100	1	1	45	95	42				24	12	regen		26	30	hp/lvl	2									helm	tors									0	0	0
of Regrowth	100	1	1	80		60				22	12	regen		31	35	hp/lvl	3									helm										0	0	0
of Regrowth	100	1	1	95		66				20	12	regen		36	40	hp/lvl	3									helm										0	0	0
																																						
of the Psyche	100	1	1	5	15	3				28	13	regen-mana		10	15	mana/lvl	3									helm	tors									0	0	0
of the Psyche	100	1	1	15	35	12				28	13	regen-mana		16	20	mana/lvl	3									helm	tors									0	0	0
of the Psyche	100	1	1	25		24				26	13	regen-mana		21	25	mana/lvl	3									tors										0	0	0
of Euphoria	100	1	1	45		42				24	13	regen-mana		26	30	mana/lvl	3									tors										0	0	0
of the Psyche	100	1	1	25	60	24				26	13	regen-mana		21	25	mana/lvl	3									helm	tors									0	0	0
of Euphoria	100	1	1	45	95	42				24	13	regen-mana		26	30	mana/lvl	3									helm	tors									0	0	0
of Euphoria	100	1	1	80		60				22	13	regen-mana		31	35	mana/lvl	4									helm										0	0	0
of Euphoria	100	1	1	95		66				20	13	regen-mana		36	40	mana/lvl	4									helm										0	0	0
																																						
of Ages	100	1	1	20	45	18				2	14	indestruct				ease		5	10	red-dmg		4	8			armo										0	0	0
of Ages	100	1	1	60		48				2	14	indestruct				ease		11	15	red-dmg		9	13			armo										0	0	0
of Eternity	100	1	1	80		60				2	14	indestruct				ease		16	20	red-dmg		14	18			armo										0	0	0
of Eternity	100	1	1	95		66				2	14	indestruct				ease		21	25	red-dmg		19	23			armo										0	0	0
																																						
of Aurora	100	1	1	80		60				2	15	aura	Defiance	3	6											tors	helm									0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Defiance	7	10											tors										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Cleansing	1	2											tors	helm									0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Cleansing	2	4											tors										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Meditation	1	2											helm										0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Meditation	2	4											helm										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Prayer	1	2											helm										0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Prayer	2	4											helm										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Vigor	1	4											tors	boot									0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Vigor	4	7											tors										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Salvation	1	2											tors	shld									0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Salvation	2	4											tors										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Thorns	3	6											tors										0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Thorns	7	10											tors										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Holy Fire T	18	36											tors										0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Holy Fire T	30	60											tors										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Holy Freeze T	18	36											tors										0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Holy Freeze T	30	60											tors										0	0	0
of Aurora	100	1	1	80		60				2	15	aura	Holy Shock T	18	36											tors										0	0	0
of Aurora	100	1	1	95		66				1	15	aura	Holy Shock T	30	60											tors										0	0	0
																																						
of Blitz Armor	100	1	1	5	15	3				9	16	gethit-skill	Frozen Armor	8	5											belt										0	0	0
of Blitz Armor	100	1	1	15	35	12				9	16	gethit-skill	Frozen Armor	8	6											belt										0	0	0
of Blitz Armor	100	1	1	25	60	24				8	16	gethit-skill	Frozen Armor	8	7											belt										0	0	0
of Blitz Armor	100	1	1	45	95	42				7	16	gethit-skill	Frozen Armor	8	8											belt										0	0	0
of Blitz Armor	100	1	1	80		60				6	16	gethit-skill	Frozen Armor	8	9											belt										0	0	0
of Blitz Armor	100	1	1	95		66				5	16	gethit-skill	Frozen Armor	8	10											belt										0	0	0
of Fire Armor	100	1	1	5	15	3				9	16	gethit-skill	Shiver Armor	8	5											belt										0	0	0
of Fire Armor	100	1	1	15	35	12				9	16	gethit-skill	Shiver Armor	8	6											belt										0	0	0
of Fire Armor	100	1	1	25	60	24				8	16	gethit-skill	Shiver Armor	8	7											belt										0	0	0
of Fire Armor	100	1	1	45	95	42				7	16	gethit-skill	Shiver Armor	8	8											belt										0	0	0
of Fire Armor	100	1	1	80		60				6	16	gethit-skill	Shiver Armor	8	9											belt										0	0	0
of Fire Armor	100	1	1	95		66				5	16	gethit-skill	Shiver Armor	8	10											belt										0	0	0
of Shiver Armor	100	1	1	5	15	3				9	16	gethit-skill	Chilling Armor	8	5											belt										0	0	0
of Shiver Armor	100	1	1	15	35	12				9	16	gethit-skill	Chilling Armor	8	6											belt										0	0	0
of Shiver Armor	100	1	1	25	60	24				8	16	gethit-skill	Chilling Armor	8	7											belt										0	0	0
of Shiver Armor	100	1	1	45	95	42				7	16	gethit-skill	Chilling Armor	8	8											belt										0	0	0
of Shiver Armor	100	1	1	80		60				6	16	gethit-skill	Chilling Armor	8	9											belt										0	0	0
of Shiver Armor	100	1	1	95		66				5	16	gethit-skill	Chilling Armor	8	10											belt										0	0	0
																																						
of Ease	100	1	1	5	15	3				16	17	ease		-10	-15	red-dmg		2	4							armo										0	0	0
of Ease	100	1	1	15	35	12				16	17	ease		-16	-20	red-dmg		4	8							armo										0	0	0
of Simplicity	100	1	1	25		24				15	17	ease		-21	-25	red-dmg		6	12							glov	belt	boot	shld	helm						0	0	0
of Simplicity	100	1	1	45		42				14	17	ease		-26	-30	red-dmg		8	16							glov	belt	boot	shld	helm						0	0	0
of Simplicity	100	1	1	25	60	24				15	17	ease		-21	-25	red-dmg		6	12							tors										0	0	0
of Simplicity	100	1	1	45	95	42				14	17	ease		-26	-30	red-dmg		8	16							tors										0	0	0
of Alleviation	100	1	1	80		60				13	17	ease		-31	-35	red-dmg		10	20							tors										0	0	0
of Alleviation	100	1	1	95		66				12	17	ease		-36	-40	red-dmg		12	24							tors										0	0	0
																																						
of Greed	100	1	1	20	45	18				13	18	gold%		10	15											armo										0	0	0
of Greed	100	1	1	60		48				12	18	gold%		16	20											armo										0	0	0
of Plunder	100	1	1	80		60				11	18	gold%		21	25											boot										0	0	0
of Plunder	100	1	1	95		66				10	18	gold%		26	30											boot										0	0	0
																																						
of Fortune	100	1	1	20	45	18				13	18	mag%		10	15											armo										0	0	0
of Fortune	100	1	1	60		48				12	18	mag%		16	20											armo										0	0	0
of Riches	100	1	1	80		60				11	18	mag%		21	25											boot										0	0	0
of Riches	100	1	1	95		66				10	18	mag%		26	30											boot										0	0	0
																																						
of the Whelpling	100	1	1	20	45	18				13	19	abs-fire		1	2	abs-fire%		1	2							shld										0	0	0
of the Whelpling	100	1	1	60		48				12	19	abs-fire		3	4	abs-fire%		2	3							shld										0	0	0
of the Kiln	100	1	1	80		60				11	19	abs-fire		4	5	abs-fire%		3	4							shld										0	0	0
of the Kiln	100	1	1	95		66				10	19	abs-fire		5	6	abs-fire%		4	5							shld										0	0	0
																																						
of the Walrus	100	1	1	20	45	18				13	19	abs-cold		1	2	abs-cold%		1	2							shld										0	0	0
of the Walrus	100	1	1	60		48				12	19	abs-cold		3	4	abs-cold%		2	3							shld										0	0	0
of the Polar Bear	100	1	1	80		60				11	19	abs-cold		4	5	abs-cold%		3	4							shld										0	0	0
of the Polar Bear	100	1	1	95		66				10	19	abs-cold		5	6	abs-cold%		4	5							shld										0	0	0
																																						
of the Tempest	100	1	1	20	45	18				13	19	abs-ltng		1	2	abs-ltng%		1	2							shld										0	0	0
of the Tempest	100	1	1	60		48				12	19	abs-ltng		3	4	abs-ltng%		2	3							shld										0	0	0
of the Maelstrom	100	1	1	80		60				11	19	abs-ltng		4	5	abs-ltng%		3	4							shld										0	0	0
of the Maelstrom	100	1	1	95		66				10	19	abs-ltng		5	6	abs-ltng%		4	5							shld										0	0	0
																																						
of Flames	100	1	1	20	45	18				8	20	extra-fire		1	2											glov										0	0	0
of Flames	100	1	1	60		48				8	20	extra-fire		2	4											glov										0	0	0
of Immolation	100	1	1	80		60				7	20	extra-fire		3	6											glov										0	0	0
of Immolation	100	1	1	95		66				6	20	extra-fire		4	8											glov										0	0	0
																																						
of Shock	100	1	1	20	45	18				8	20	extra-ltng		1	2											glov										0	0	0
of Shock	100	1	1	60		48				8	20	extra-ltng		2	4											glov										0	0	0
of Zapping	100	1	1	80		60				7	20	extra-ltng		3	6											glov										0	0	0
of Zapping	100	1	1	95		66				6	20	extra-ltng		4	8											glov										0	0	0
																																						
of Chilling	100	1	1	20	45	18				8	20	extra-cold		1	2											glov										0	0	0
of Chilling	100	1	1	60		48				8	20	extra-cold		2	4											glov										0	0	0
of Freezing	100	1	1	80		60				7	20	extra-cold		3	6											glov										0	0	0
of Freezing	100	1	1	95		66				6	20	extra-cold		4	8											glov										0	0	0
																																						
of Blight	100	1	1	20	45	18				8	20	extra-pois		1	2											glov										0	0	0
of Blight	100	1	1	60		48				8	20	extra-pois		2	4											glov										0	0	0
of Venom	100	1	1	80		60				7	20	extra-pois		3	6											glov										0	0	0
of Venom	100	1	1	95		66				6	20	extra-pois		4	8											glov										0	0	0
																																						
of Banishment	100	1	1	20	45	18				8	20	extra-mag2		1	2											glov										0	0	0
of Banishment	100	1	1	60		48				8	20	extra-mag2		2	4											glov										0	0	0
of Exile	100	1	1	80		60				7	20	extra-mag2		3	6											glov										0	0	0
of Exile	100	1	1	95		66				6	20	extra-mag2		4	8											glov										0	0	0
																																						
of Dazing	100	1	1	20	45	18				8	20	extra-wind		1	2											glov										0	0	0
of Dazing	100	1	1	60		48				8	20	extra-wind		2	4											glov										0	0	0
of Impact	100	1	1	80		60				7	20	extra-wind		3	6											glov										0	0	0
of Impact	100	1	1	95		66				6	20	extra-wind		4	8											glov										0	0	0
																																						
of Knowledge	100	1	1	20	45	18				6	21	allskills		1	1											tors										0	0	0
of Knowledge	100	1	1	60		48				5	21	allskills		1	2											tors										0	0	0
of Dogma	100	1	1	80		60				4	21	allskills		2	2											tors										0	0	0
of Dogma	100	1	1	95		66				3	21	allskills		2	3											tors										0	0	0
																																						
of Archaeology	100	1	1	5	15	3				13	18	gold%		10	15	mag%		10	15							dwav										0	0	0
of Archaeology	100	1	1	15	35	12				12	18	gold%		16	20	mag%		16	20							dwav										0	0	0
of Excavation	100	1	1	25	60	24				11	18	gold%		21	25	mag%		21	25							dwav										0	0	0
of Excavation	100	1	1	45		42				10	18	gold%		26	30	mag%		26	30							dwav										0	0	0
of Excavation	100	1	1	80		60				10	18	gold%		26	30	mag%		26	30							dwav										0	0	0
of Exhuming	100	1	1	95		66				1	18	oskill	Find Potion	1	4											dwav										0	0	0
of Exhuming	100	1	1	95		66				1	18	oskill	Find Item	1	4											dwav										0	0	0
																																						
of the Oiorpata	100	1	1	95		66	ama		60	1	15	aura	Holy Fire H	6	18											scrn												0
of the Oiorpata	100	1	1	95		66	ama		60	1	15	aura	Holy Freeze H	6	18											scrn												0
of the Oiorpata	100	1	1	95		66	ama		60	1	15	aura	Holy Shock H	6	18											scrn												0
																																						
of Thorns	100	1	1	5	15	3				28	22	thorns/lvl	16	0	0											spike										0	0	0
of Thorns	100	1	1	15	35	12				28	22	thorns/lvl	16	0	0											spike										0	0	0
of Spikes	100	1	1	25	60	24				26	22	thorns/lvl	32	0	0											spike										0	0	0
of Spikes	100	1	1	45	95	42				24	22	thorns/lvl	48	0	0											spike										0	0	0
of Razors	100	1	1	80		60				22	22	thorns/lvl	64	0	0											spike										0	0	0
of Razors	100	1	1	95		66				20	22	thorns/lvl	80	0	0											spike										0	0	0
of Swords	100	1	1	95		66				1	22	oskill	Thorns	1	10											spike										0	0	0
																																						
of Shade Armor	100	1	1	5	15	3				9	16	gethit-skill	Shade Armor	8	5											slyv										0	0	0
of Shade Armor	100	1	1	15	35	12				9	16	gethit-skill	Shade Armor	8	6											slyv										0	0	0
of Shade Armor	100	1	1	25	60	24				8	16	gethit-skill	Shade Armor	8	7											slyv										0	0	0
of Shade Armor	100	1	1	45	95	42				7	16	gethit-skill	Shade Armor	8	8											slyv										0	0	0
of Shade Armor	100	1	1	80		60				6	16	gethit-skill	Shade Armor	8	9											slyv										0	0	0
of Shade Armor	100	1	1	95		66				5	16	gethit-skill	Shade Armor	8	10											slyv										0	0	0
of Haer Dalis	100	1	1	95		66				1	16	oskill	Shade Armor	1	4											slyv										0	0	0
																																						
of the Apprentice	100	1	1	5	15	3				28	22	cast1		8	12											circ										0	0	0
of the Apprentice	100	1	1	15	35	12				28	22	cast1		13	17											circ										0	0	0
of the Mage	100	1	1	25	60	24				26	22	cast2		18	22											circ										0	0	0
of the Mage	100	1	1	45	95	42				24	22	cast2		23	27											circ										0	0	0
of the  Arch Mage	100	1	1	80		60				22	22	cast3		28	32											circ										0	0	0
of the  Arch Mage	100	1	1	95		66				20	22	cast3		33	37											circ										0	0	0
of the Royal Wizard	100	1	1	95		66				4	22	nofreeze		1	1											circ										0	0	0
																																						
of the Clouds	100	1	1	5	15	3				9	23	all-stats		1	2											wrap										0	0	0
of the Clouds	100	1	1	15	35	12				9	23	all-stats		2	4											wrap										0	0	0
of the Sky	100	1	1	25	60	24				8	23	all-stats		5	7											wrap										0	0	0
of the Sky	100	1	1	45	95	42				7	23	all-stats		8	10											wrap										0	0	0
of the Heavens	100	1	1	80		60				6	23	all-stats		11	13											wrap										0	0	0
of the Heavens	100	1	1	95		66				5	23	all-stats		14	16											wrap										0	0	0
																																						
of Slaying	100	1	1	5	15	3				8	20	deadly		5	7											gurd										0	0	0
of Slaying	100	1	1	15	35	12				8	20	deadly		7	9											gurd										0	0	0
of Destruction	100	1	1	25	60	24				8	20	deadly		9	11											gurd										0	0	0
of Destruction	100	1	1	45	95	42				7	20	deadly		11	13											gurd										0	0	0
of Carnage	100	1	1	80		60				6	20	deadly		13	15											gurd										0	0	0
of Carnage	100	1	1	95		66				5	20	deadly		15	17											gurd										0	0	0
of Crushing	100	1	1	95		66				4	20	deadly		9	11	crush		3	6							gurd										0	0	0
																																						
of Mighty	100	1	1	1	10	1				28	50	str		2	4											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Mighty	100	1	1	5	15	3				28	50	str		5	7											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Mighty	100	1	1	10	20	6				28	50	str		8	10											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Bull	100	1	1	15	35	12				28	50	str		11	13											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Bull	100	1	1	20	45	18				28	50	str		14	16											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Bull	100	1	1	25	60	24				28	50	str		17	19											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Ogre	100	1	1	35	80	33				28	50	str		20	22											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Ogre	100	1	1	45	95	42				28	50	str		23	25											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Ogre	100	1	1	60		48				28	50	str		20	22											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Goliath	100	1	1	80		60				24	50	str		31	35											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Goliath	100	1	1	95		66				22	50	str		36	40											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Prometheus	100	1	1	95		66				20	50	str		41	45											2hsw	2hcw	miss								0	0	0
																																						
of the Spectre	100	1	1	1	10	1				28	51	dex		2	4											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Spectre	100	1	1	5	15	3				28	51	dex		5	7											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Spectre	100	1	1	10	20	6				28	51	dex		8	10											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Gale	100	1	1	15	35	12				28	51	dex		11	13											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Gale	100	1	1	20	45	18				28	51	dex		14	16											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Gale	100	1	1	25	60	24				28	51	dex		17	19											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Falcon	100	1	1	35	80	33				28	51	dex		20	22											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Falcon	100	1	1	45	95	42				28	51	dex		23	25											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of the Falcon	100	1	1	60		48				28	51	dex		20	22											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Excellence	100	1	1	80		60				24	51	dex		31	35											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Excellence	100	1	1	95		66				22	51	dex		36	40											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Oblivion	100	1	1	95		66				20	51	dex		41	45											2hsw	2hcw	miss								0	0	0
																																						
of Lucidity	100	1	1	1	10	1				28	52	enr		2	4											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Lucidity	100	1	1	5	15	3				28	52	enr		5	7											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Lucidity	100	1	1	10	20	6				28	52	enr		8	10											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Luminosity	100	1	1	15	35	12				28	52	enr		11	13											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Luminosity	100	1	1	20	45	18				28	52	enr		14	16											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Luminosity	100	1	1	25	60	24				28	52	enr		17	19											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Incantation	100	1	1	35	80	33				28	52	enr		20	22											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Incantation	100	1	1	45	95	42				28	52	enr		23	25											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Incantation	100	1	1	60		48				28	52	enr		20	22											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Conjuration	100	1	1	80		60				24	52	enr		31	35											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Conjuration	100	1	1	95		66				22	52	enr		36	40											1hsw	2hsw	1hcw	2hcw	miss						0	0	0
of Awakening	100	1	1	95		66				20	52	enr		41	45											2hsw	2hcw	miss								0	0	0
																																						
of the Ursus	100	1	1	5	15	3				9	53	str%		1	2											1hsw	2hsw									0	0	0
of the Ursus	100	1	1	15	35	12				9	53	str%		3	5											1hsw	2hsw									0	0	0
of the Ursus	100	1	1	25	60	24				8	53	str%		5	8											1hsw	2hsw									0	0	0
of the Chimpanzee	100	1	1	45	95	42				7	53	str%		7	11											1hsw	2hsw									0	0	0
of the Chimpanzee	100	1	1	80		60				6	53	str%		9	14											1hsw	2hsw									0	0	0
of the Chimpanzee	100	1	1	95		66				5	53	str%		11	17											1hsw	2hsw									0	0	0
of the Chimpanzee	100	1	1	95		66				4	53	str%		13	20											2hsw										0	0	0
																																						
of the Leopard	100	1	1	5	15	3				9	54	dex%		1	2											1hsw	2hsw	miss								0	0	0
