String Index	Text
Skillld518	dealing half of your weapon damage and additional lightning damage\nmelee attack that releases a ring of electrical balls around you\nHits Up To 8 Times Per Second\n\red;Requires Sword, Mace or Hammer\grey;
Skillname519	Field of Battle
Skillan519	Field of Battle
Skillsd519	\purple;(Assassin Skill - Traps)\grey;\ntrap-spawning strike\n\red;Requires Claw\grey;
Skillld519	emitting shurikens piercing monsters\nhit an enemy to spawn a static trap\n\red;Requires Claw\grey;
Skillname520	Behemoth Skin
Skillan520	Behemoth Skin
Skillsd520	\purple;(Assassin Skill - Shadow Discipline)\grey;\nmelee buff
Skillld520	the ability to pierce enemy's skin\nphysical resistance and armor while giving you\na buff - makes your skin harder raising
Skillname521	Temple of Fury
Skillan521	Temple of Fury
Skillsd521	\purple;(Assassin Skill - Traps)\grey;\nplace a spawner which drops lightning bombs around it
Skillld521	lightning bombs at nearby enemies\nplants an essense of thunderous wrath that throws\nHits Up To 8 Times Per Second
Skillname522	Blade Fission
Skillan522	Blade Fission
Skillsd522	\purple;(Assassin Skill - Martial Arts)\grey;\nsplitting knife\n\red;Requires Throwing Knife\grey;
Skillld522	into multiple deadly knives\nthrows a knife that splits on hit\n\red;Requires Throwing Knife\grey;
physpiercestr	Pierces Enemy's Physical Resistance By 
percentwdmstr	% Weapon Damage
totalknivecountstr	Knives Released: 
StrSkill181	Physical Damage Taken Reduced By: 
basedefstr	Base Defense 
of Reassembling	of Reassembling
of the Underworld	of the Underworld
of Fire Bolts	of Burning Seekers
of Branching Blaze	of Fire Balls
ModStrMinion2	additional Fire Golem, Valkyrie and Shadow Master
ModStrBlood	Bloody
ModSorcBolt	1 Fire and Ice Bolt Missile per 5 Basepoints instead of 15
ModStrNecSpear	Additional Bone Spear Missiles
Dfuzzz's Fingerguard 1	Dfuzzz's Fingerguard
Dfuzzz's Fingerguard 2	Dfuzzz's Fingerguard
Killashandra Ree's Black C 1	Killashandra Ree's Black Crystal
Killashandra Ree's Black C 2	Killashandra Ree's Black Crystal
BlackMage's Knucklebone 1	BlackMage's Knucklebone
BlackMage's Knucklebone 2	BlackMage's Knucklebone
The Tipsy Donut 1	The Tipsy Donut
The Tipsy Donut 2	The Tipsy Donut
The Mad Celt's Shining Sparkly 1	The Mad Celt's Shining Sparkly
The Mad Celt's Shining Sparkly 2	The Mad Celt's Shining Sparkly
Yagul's Wrath 1	Yagul's Wrath
Yagul's Wrath 2	Yagul's Wrath
Killjoy's Attitude 1	Killjoy's Attitude
Killjoy's Attitude 2	Killjoy's Attitude
Soulstone	Soulstone
increaseswithvit	(Based on Vitality)
Dark Universe	Dark Universe
hiddendesc	\red;Cannot be rerolled
StrSkillLowerRes	\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;
StrSkillPoisonMas	\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;
StrSkillAmplifyDmg	\yellow;Pierces Enemy Resist By 1% Per Base Point\grey;
StrSkillInnerCorr	\yellow;Pierces Enemy Resists By 2% Per Base Point\grey;
StrSkillHorrForm	\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;
StrSkillAthenaPre	\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;
StrSkillConviction	\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;
StrSkillPoisCreeper	\yellow;Pierces Enemy Resist By 1% Per Base Point\grey;
StrSkillFireCreeper	\yellow;Pierces Enemy Resist By 1% Per Base Point\grey;
StrSkillColdCreeper	\yellow;Pierces Enemy Resist By 1% Per Base Point\grey;
strModAllResistances2	All Resistances
